Nom de famille;Nom de fournisseur;Nom de produit;Date ANDEVA;Date INRS;info date (1,2,3,4,5,6,7,8);Type d'amiante;Type d'utilisation;Nouveau nom
Faux-plafonds;FERODO/FERLAM;22 ALU;06/1973;;3;Chrysotile;Isolant;
Faux-plafonds;ISOVER;EVERITUBE;1986;;;;;
Faux-plafonds;ISOVER;AMIABEL SAFARI;1986;;8;;;AMIABEL SAFARI II
Faux-plafonds;FERODO/FERLAM;DECOR;06/1973;;3;Chrysotile;Isolant;
Faux-plafonds;FERLAM;DECOR DE LUXE;;;;;;
Faux-plafonds;FERLAM/PANOCELL;LITATHERM;;;;;;
Faux-plafonds;FERLAM/PANOCELL;ONDUCELL;;;;;;
Faux-plafonds;FERODO/FERLAM;PANOCELL;06/1973;;3;Chrysotile;Isolant;
Faux-plafonds;ETERNIT;PICAL;1985;;5;Chrysotile/Amosite;Plan;
Faux-plafonds;STRAMIT;STRAMIT;;;;;;
Feuilles;PBI;ARMIT;;;;;;
Feuilles;PBI;KEMIT;;;;;;
Feuilles;;LUTAM;;;;;;
Feuilles;PBI;TESNIT;;;;;;
Feutres;FERODO;FERLAM;;;;;;
Feutres;DFC;FEUTRE D'AMIANTE;1996;;;Chrysotile;Isolant Thermique;
Feutres;SIPLAST;PARAVER;;;;;;
Panneaux;EVERITE;ETERNIT;1983;;7;Chrysotile-Grunérite;Amiante-ciment;
Panneaux;EVERITE;ASBESTOLUX;1983;;7;Chrysotile-Grunérite;Amiante-ciment;
Panneaux;ISOLAMIANTE;CAPOSIL HT 1;;;6;Amosite;Panneau isolant;
Panneaux;CAPE;CAPOSITE;;;6;Amosite;;
Panneaux;EVERS;EVERSON;;;;;;
Panneaux;FULGURIT;FULGUTEKT;;;;;;
Panneaux;ISOLAMIANTE ET MANUF. GENER. D'ISOL.;ISOLAMIANTE;;;;;;
Panneaux;MATHER + PLATT;MATHERITE;;;;;;
Panneaux;SOGECO;NORMAFEU 51 mm AMIANTE;;;;;;
Panneaux;OCTOBON;OCTOBON;;;;;;
Panneaux;FERLAM/FERODO;PANOCELL;;;;;;
Panneaux;ISOTHIG;PAROGEL;;;;;;
Panneaux;PROMAT(ETERNIT);PROMABEST;;;;;;
Plaques;;ASBESTODUR;;;;;;
Plaques;FERRETTITE;ASBESTOLITE;;;;;;
Plaques;FERRETTITE;ASBETOLITH;;;;;;
Plaques;FERLAM;ALUNINISE 81866 ALD 1;;;3;Chrysotile;;
Plaques;FERLAM;ALUNINISE 81865 ALD 11;;;3;Chrysotile;;
Plaques;FERLAM;ALUNINISE 81812ALD 1;;;3;Chrysotile;;
Plaques;FERLAM;ALUNINISE 1008;;;3;Chrysotile;;
Plaques;FERLAM;ALUNINISE 71110;;;3;Chrysotile;;
Plaques;FERLAM;ALUNINISE 72140;;;3;Chrysotile;;
Plaques;FERLAM;ALUNINISE 72851;;;3;Chrysotile;;
Plaques;ISOLAMIANTE ET CAPE;CAPOSIL HT 1;;;;;;
Plaques;;CARTON BR;;;;;;
Plaques;GEB;CARTON D'AMIANTE;03/1996;;3;Chrysotile;;
Plaques;;CELOBESTOS;;;;;;
Plaques;;CORDIERITE;;;6;Chrysotile;;
Plaques;ETERNIT;PICAL;;;;;;
Plaques;;DURESTON;;;6;Chrysotile;;
Plaques;;GESTERON 210;;;6;Chrysotile;;
Plaques;;GESTERON 281;;;6;Chrysotile;;
Plaques;;PERMANIRE;;;;;;
Plaques;ETERNIT;PIACALUX (densité 0,7-0,9);;;;;;
Plaques;ETERNIT;PICAL A (densité 0,5-0,7);;;;;;
Plaques;;SOVELITE;;;6;Amiante;Isolant thermique;
Plaques;JOHNS MANVILLE;SUPEREX;;;;;;
Plaques;FIBROCIMENT;SUPERISOFIBRO;;;;;;
Plaques;JOHNS MANVILLE;THERMOBESTOS;;;;;;
Bandes;FERLAM;BANDE 703;03/1996;;3;Chrysotile;;
Bandes;FERLAM;BANDE 709;03/1996;;3;Chrysotile;;
Bandes;FERLAM;BANDE 714 E;03/1996;;3;Chrysotile;;
Bandes;FERLAM;BANDE 733/734;03/1996;;3;Chrysotile;;
Bandes;FERLAM;BANDE 731/732;03/1996;;3;Chrysotile;;
Bandes;FERLAM;BANDE 737 à 739;03/1996;;3;Chrysotile;;
Bandes;FERLAM;BANDE 747 à 749;03/1996;;3;Chrysotile;;
Bandes;PROST;DIATISOL;;;;;;
Bourrelets;FERLAM;BOURRELET 178;03/1996;;3;Chrysotile;;
Bourrelets;JOHNS MANVILLE;CHEMPAC 2012;;;;;;
Bourrelets;PATOURET-DUBOIS et FILS;LITAFEU;;;;;;
Cordons;FERLAM;CODON 112;03/1996;;3;Chrysotile;;
Cordons;FERLAM;CODON 113;03/1996;;3;Chrysotile;;
Cordons;FERLAM;CODON 113 EKR;03/1996;;3;Chrysotile;;
Cordons;FERLAM;CODON 192;03/1996;;3;Chrysotile;;
Cordons;TREMCO;JS 802 Swiggle;12/1990;11/1990;;;;
Cordons;TREMCO;POLYSHIM;12/1991;;;;;
Cordons;TREMCO;SST 800;06/1994;;1;Chrysotile;;
Cordons;TREMCO;TAPE 440;06/1990;;1;Chrysotile;;
Couvertures;ETERNIT INDUSTRIES;ARDOISE ETERNIT;12/1992;;;;;
Couvertures;ETERNIT INDUSTRIES;ARDOISE TULOISE;06/1977;;;;;
Couvertures;COMPTOIR TUILLIER DU NORD;EPIPLAQUE 5/76;07/1982;;;;;
Couvertures;COMPTOIR TUILLIER DU NORD;EPIPLAQUE 5/78;07/1982;;;;;
Couvertures;TECTOR EVERITE;EVERISOL;;;;;;
Couvertures;EVERITUBE;EVERISOL;12/1987;;;;;
Couvertures;EVERITE;EVERISOL;07/1992;;;;;
Couvertures;EVERITUBE;MAXIPLAQUE 5/73-38;06/1977;;;;;
Couvertures;EVERITUBE;MAXIPLAQUE 5/77-199;10/1981;;;;;
Couvertures;EVERITUBE;MAXIPLAQUE 5/80-283;10/1981;;;;;
Couvertures;EVERITUBE;MAXIPLAQUE 5/81-364;12/1996;;;;;
Couvertures;ECONEX-SOFILEX;Q;01/1987;12/1996;;;;
Couvertures;EVERITUBE;STRUCTUREX COUV. 5/80-284;03/1984;;;;;
Couvertures;EVERITUBE;STRUCTUREX COUV. 5/84-475;07/1985;;;;;
Matelas;CAPE;MATELAS PLUTO;;;6;Amiante;Matelas;
Tissus;FERLAM;TISSU 842/843;03/1996;;3;Chrysotile;;
Tissus;FERLAM;TISSU 831/833;03/1996;;3;Chrysotile;;
Tissus;FERLAM;TISSU 851/855;03/1996;;3;Chrysotile;;
Tissus;FERLAM;TISSU 812/865;03/1996;;3;Chrysotile;;
Tissus;FERLAM;TISSU 862/863;03/1996;;3;Chrysotile;;
Tissus;FERLAM;TISSU 864/866;03/1996;;3;Chrysotile;;
Tissus;FERLAM;TISSU 6110/6140;03/1996;;3;Chrysotile;;
Tissus;FERLAM;TISSU 6200/6280;03/1996;;3;Chrysotile;;
Tissus;FERODO;UNIDECOR;;;;;;
Tresses;GEB;FIRESEAL;03/1996;;3;Chrysotile;;
Tresses;;GROSSLITE;;;6;Chrysotile;;
Tresses;;FIREFY;;;6;Chrysotile;;
Tresses;;SOLEX;;;6;Chrysotile;;
Tresses;;SUPER TEMPEX;;;6;Chrysotile;;
Tresses;LATTY INTERNATIONAL;LATTY FLON 1775;02/1996;;3;Amiante;;
Tresses;LATTY INTERNATIONAL;LATTY FLON 1789;02/1996;;3;Amiante;;
Tresses;LATTY INTERNATIONAL;LATTY TEX 117;02/1996;;3;Amiante;;
Tresses;LATTY INTERNATIONAL;LATTY TEX 313 INC;02/1996;;3;Amiante;;
Tresses;LATTY INTERNATIONAL;LATTY TEX 1761 AF-AL;02/1996;;3;Amiante;;
Tresses;PATURET-DUBOIS et FILS;PADUFLON;;;;;;
Tresses;PATURET-DUBOIS et FILS;PADUSOL;;;;;;
Tresses;PATURET-DUBOIS et FILS;PADUTEX;;;;;;
Tresses;GEB;PROFEU TRESSE D'AMIANTE;;03/1996;3;Chrysotile;;
Tresses;FERLAM;TRESSE 123 E;03/1996;;3;Chrysotile;;
Tresses;FERLAM;TRESSE 128 E;03/1996;;3;Chrysotile;;
Tresses;FERLAM;TRESSE 130 E;03/1996;;3;Chrysotile;;
Tresses;GEB;TRESSE D'AMIANTE;03/1996;;3;Chrysotile;;
Freins;ABEXEQUIPEMENTS; ABEX 331;03/1996;;;;;
Freins;FERODO ABEX;250;fin 1996;;3;Chrysotile;Matériaux de friction;
Freins;FERODO ABEX;254;fin 1996;;3;Chrysotile;Matériaux de friction;
Freins;FERODO ABEX;303;fin 1996;;3;Chrysotile;Matériaux de friction;
Freins;FERODO ABEX;331;fin 1996;;3;Chrysotile;Matériaux de friction;
Freins;FERODO ABEX;346;fin 1996;;3;Chrysotile;Matériaux de friction;
Freins;FERODO ABEX;349;fin 1996;;3;Chrysotile;Matériaux de friction;
Freins;FERODO ABEX;413;fin 1996;;3;Chrysotile;Matériaux de friction;
Freins;FERODO ABEX;416;fin 1996;;3;Chrysotile;Matériaux de friction;
Freins;FERODO ABEX;417;fin 1996;;3;Chrysotile;Matériaux de friction;
Freins;FERODO ABEX;425;fin 1996;;3;Chrysotile;Matériaux de friction;
Freins;FERODO ABEX;427;fin 1996;;3;Chrysotile;Matériaux de friction;
Freins;FERODO ABEX;121;;;6;Amiante;Matériaux de friction;
Freins;FERODO ABEX;200;;;6;Amiante;Matériaux de friction;
Freins;FERODO ABEX;203;;;6;Amiante;Matériaux de friction;
Freins;FERODO ABEX;231;;;6;Amiante;Matériaux de friction;
Freins;FERODO ABEX;251;;;6;Amiante;Matériaux de friction;
Freins;FERODO ABEX;253;;;6;Amiante;Matériaux de friction;
Freins;FERODO ABEX;301;;;6;Amiante;Matériaux de friction;
Freins;FERODO ABEX;309;;;6;Amiante;Matériaux de friction;
Freins;FERODO ABEX;311;;;6;Amiante;Matériaux de friction;
Freins;FERODO ABEX;334;;;6;Amiante;Matériaux de friction;
Freins;FERODO ABEX;335;;;6;Amiante;Matériaux de friction;
Freins;FERODO ABEX;336;;;6;Amiante;Matériaux de friction;
Freins;FERODO ABEX;342;;;6;Amiante;Matériaux de friction;
Freins;FERODO ABEX;355;;;6;Amiante;Matériaux de friction;
Freins;FERODO ABEX;360;;;6;Amiante;Matériaux de friction;
Freins;FERODO ABEX;383;;;6;Amiante;Matériaux de friction;
Freins;FERODO ABEX;385;;;6;Amiante;Matériaux de friction;
Freins;FERODO ABEX;386;;;6;Amiante;Matériaux de friction;
Freins;FERODO ABEX;388;;;6;Amiante;Matériaux de friction;
Freins;FERODO ABEX;389;;;6;Amiante;Matériaux de friction;
Freins;FERODO ABEX;411;;;6;Amiante;Matériaux de friction;
Freins;FERODO ABEX;470;;;6;Amiante;Matériaux de friction;
Freins;FERODO ABEX;481;;;6;Amiante;Matériaux de friction;
Freins;FERODO ABEX;503;;;6;Amiante;Matériaux de friction;
Freins;FERODO ABEX;508;;;6;Amiante;Matériaux de friction;
Freins;FERODO ABEX;532;;;6;Amiante;Matériaux de friction;
Freins;FERODO ABEX;608;;;6;Amiante;Matériaux de friction;
Freins;FERODO ABEX;618;;;6;Amiante;Matériaux de friction;
Freins;FERODO ABEX;631;;;6;Amiante;Matériaux de friction;
Freins;FERODO ABEX;640;;;6;Amiante;Matériaux de friction;
Freins;FERODO ABEX;679;;;6;Amiante;Matériaux de friction;
Freins;FERODO ABEX;815;;;6;Amiante;Matériaux de friction;
Freins;FLERTEX;271;02/1996;;3;Chrysotile;Matériaux de friction;
Freins;FLERTEX;301;02/1996;;3;Chrysotile;Matériaux de friction;
Freins;FLERTEX;504;02/1996;;3;Chrysotile;Matériaux de friction;
Freins;FLERTEX;535;02/1996;;3;Chrysotile;Matériaux de friction;
Freins;FLERTEX;562;02/1996;;3;Chrysotile;Matériaux de friction;
Freins;FLERTEX;607;02/1996;;3;Chrysotile;Matériaux de friction;
Freins;FLERTEX;608;02/1996;;3;Chrysotile;Matériaux de friction;
Freins;FLERTEX;609;02/1996;;3;Chrysotile;Matériaux de friction;
Freins;FLERTEX;641;02/1996;;3;Chrysotile;Matériaux de friction;
Freins;FLERTEX;644;02/1996;;3;Chrysotile;Matériaux de friction;
Freins;FLERTEX;661;02/1996;;3;Chrysotile;Matériaux de friction;
Freins;ALLIED SIGNAL;S 688;02/1996;;3;Chrysotile;Matériaux de friction;
Isolateurs électriques;FERLAM;GAINE 232;;03/1996;3;Chrysotile;Gaine;
Isolateurs électriques;FERLAM;GAINE 223 E;;03/1996;3;Chrysotile;Gaine;
Joints;TROUVAY et CAUVIN;LATTY;1995;;;;;
Joints;TROUVAY et CAUVIN;PATOURET-DUBOIS;1995;;;;;
Joints;TROUVAY et CAUVIN;FERLAM;1995;;;;;
Joints;TROUVAY et CAUVIN;TURNER;1995;;;;;
Joints;TROUVAY et CAUVIN;SIEM;1995;;;;;
Joints;TROUVAY et CAUVIN;EMI CURTY;1995;;;;;
Joints;TROUVAY et CAUVIN;BELDARIT;1995;;;;;
Joints;TROUVAY et CAUVIN;EMIRIT;1995;;;;;
Joints;TROUVAY et CAUVIN;EXCELSIORIT-CURTIT;1995;;;;;
Joints;DELTA-JOINT;HYDROMETALIT;;;6;Amiante;;
Joints;MOULINS DE SALIENS;HYDROMIDIT 53;03/1996;;7;Chrysotile;;
Joints;MOULINS DE SALIENS;HYDROMIDIT 74;03/1996;;7;Chrysotile;;
Joints;MOULINS DE SALIENS;HYDROMIDIT 95;03/1996;;7;Chrysotile;;
Joints;TROUVAY ET CAUVIN;KLINGER 41 (3XA);12/1992;;7;Amiante;;
Joints;TROUVAY ET CAUVIN;KLINGER 80;07/1989;;3;Chrysotile;;
Joints;TROUVAY ET CAUVIN;KLINGER 200;;;6;Amiante;;
Joints;TROUVAY ET CAUVIN;KLINGER 290 D;;;6;Amiante;;
Joints;TROUVAY ET CAUVIN;KLINGER OILIT (3XA);;;6;Amiante;;
Joints;TROUVAY ET CAUVIN;KLINGERFLEX CH 1;;;6;Amiante;;
Joints;TROUVAY ET CAUVIN;KLINGERIT (3XA);;;6;Amiante;;
Joints;TROUVAY ET CAUVIN;1000;;;6;Amiante;;
Joints;TROUVAY ET CAUVIN;UNIVERSAL (3XA);;;6;Amiante;;
Joints;LAFARGE;LANCO 119;;;;;;
Joints;LATTY INTERNATIONAL;LATTY PACK TRESSADIANT;02/1996;;3;Amiante;;
Joints;LATTY INTERNATIONAL;LATTY RIT 200;02/1996;;3;Chrysotile;;
Joints;LATTY INTERNATIONAL;LATTY RIT 2000 METALLIC;02/1996;;;;;
Joints;LATTY;LATTY RIT SUPERSERVICE 25;;09/1997;3;Chrysotile;;
Joints;TROUVAY et CAUVIN;LLOYD PERMANITE;1995;;;;;
Joints;LATTY INTERNATIONAL;METALLIC;02/1996;;3;Chrysotile;;
Joints;LATTY INTERNATIONAL;MULTISERVICE;02/1996;;3;Chrysotile;;
Joints;SIEM; OIL;;;;;;
Joints;SIEM; OIL SR;;;;;;
Joints;LATTY INTERNATIONAL;SUPER ACID;02/1996;;3;Chrysotile;;
Joints;TROUVAY et CAUVIN;SUPRANITE;1995;;;;;
Joints;SIEM;SUPRANITE ACID;01/1996;;3;Chrysotile;;
Joints;SIEM;SUPRANITE OIL;01/1996;;3;Chrysotile;;
Joints;SIEM;SUPRANITE OIL SR;01/1996;;3;Chrysotile;;
Joints;SIEM;SUPRANITE OIL SRN;01/1996;;3;Chrysotile;;
Joints;SIEM;SUPRANITE SR;01/1996;;3;Chrysotile;;
Joints;SIEM;SUPRANITE SRN;01/1996;;3;Chrysotile;;
Joints;TROUVAY ET CAUVIN;WB 1;;;6;Amiante;;
Matériaux composites;FERODO;FERLAM;;;;;;
Matériaux composites;ROCLAINE/CAPE;MARINITE 36 et 45;;;;;;
Matériaux composites;ISOMACO;TEXCOTE;;;;;;
Matière plastique;PERSTORP;847;1995;;7;Amiante;;
Matière plastique;PERSTORP;849;1995;;7;Amiante;;
Nez de marches;FERODO;FERODO;;;;;;
Revetements muraux;FORBO SARLINO;COLOVINYL;1983;;8;Chrysotile;Revetement;COLOVINYL AF
Revetements muraux;CORDUAL;DECOVER;;;;;;
Revetements muraux;FORBO SARLINO;NOVILON;1981;;1;Chrysotile;Revetement;
Revetements muraux;FERLAM/FERODO;STRAIRLAM;;;;;;
Revetements de sols en dalles ou en rouleaux;GRIFFINE MARECHAL;AD DAL;07/1986;;;;;
Revetements de sols en dalles ou en rouleaux;DALAMI;ARDOISIN;07/1985;;;;;
Revetements de sols en dalles ou en rouleaux;;ARMAZOL;07/1990;06/1982;3;;;
